first_name,second_name,last_name,full_name,album_numer,id_numer,transfer,transfer_date,amount_paid_is_correct,student_id_release_date
Krisha,,Buzine,Krisha  Buzine,504609,89379705900,9.81 zł,13/11/2023,false,
Rab,Edythe,Yanshin,Rab Edythe Yanshin,365910,73861244078,0.00 zł,,false,
Geraldine,,Marioneau,Geraldine  Marioneau,506362,45333195323,26.30 zł,6/10/2023,false,
Brantley,,Spiaggia,Brantley  Spiaggia,446217,20454687560,22.00 zł,14/11/2023,true,5/12/2023
Rowan,,Reisk,Rowan  Reisk,271434,82218388646,0.00 zł,,false,
Shina,,Sambrook,Shina  Sambrook,349109,93121994885,28.37 zł,28/10/2023,false,
Colleen,,Purvis,Colleen  Purvis,825464,10896040731,0.00 zł,,false,
Adrianne,,Standish-Brooks,Adrianne  Standish-Brooks,301737,68907816870,22.00 zł,14/10/2023,true,31/10/2023
Inglis,,Halshaw,Inglis  Halshaw,195052,68850489159,16.30 zł,28/10/2023,false,
Jocelyne,,Momery,Jocelyne  Momery,869965,02853377513,22.00 zł,11/10/2023,true,14/10/2023
Liliane,Wes,Rennolds,Liliane Wes Rennolds,556718,69817054716,0.00 zł,,false,
Chandal,Oliviero,Head,Chandal Oliviero Head,401581,43703004181,0.00 zł,,false,
Jo,,Tordoff,Jo  Tordoff,941740,34446539536,0.00 zł,,false,
Ardis,Cassi,Spadazzi,Ardis Cassi Spadazzi,967167,32712678808,24.35 zł,24/10/2023,false,
Rosie,Blythe,Kliemchen,Rosie Blythe Kliemchen,974414,28245458433,22.00 zł,24/10/2023,true,4/11/2023
Dannie,Corrina,Tippell,Dannie Corrina Tippell,345091,07880462401,20.52 zł,15/11/2023,false,
Barbara-anne,Bertie,MacKall,Barbara-anne Bertie MacKall,595468,75546176806,0.00 zł,,false,
Darn,,Gatheral,Darn  Gatheral,085062,21420535391,35.03 zł,13/11/2023,false,
Rubi,Gertrude,Sibley,Rubi Gertrude Sibley,168762,94284454510,0.00 zł,,false,
Sholom,,Oneal,Sholom  Oneal,918565,82409699791,22.00 zł,3/11/2023,true,28/11/2023
Stanislaus,,Blasdale,Stanislaus  Blasdale,612772,46058210528,0.00 zł,,false,
Claus,Valida,Bemrose,Claus Valida Bemrose,093169,10389170924,20.22 zł,4/10/2023,false,
Sallyann,,Biford,Sallyann  Biford,452081,18021749385,0.00 zł,,false,
Demott,,Erangey,Demott  Erangey,716885,78797092647,20.52 zł,16/11/2023,false,
Keefer,Patten,Lowden,Keefer Patten Lowden,520375,91406527756,26.96 zł,16/10/2023,false,
Hollis,,Blatherwick,Hollis  Blatherwick,397009,48710651151,25.53 zł,26/10/2023,false,
Collette,Tessa,Pardey,Collette Tessa Pardey,965984,94767155105,23.54 zł,8/10/2023,false,
Marilyn,Flossy,Rumming,Marilyn Flossy Rumming,879266,86977700007,25.44 zł,16/10/2023,false,
Tess,,McCerery,Tess  McCerery,539813,01732354248,16.16 zł,11/10/2023,false,
Perri,Guenevere,Gayforth,Perri Guenevere Gayforth,026229,65348441878,22.00 zł,9/10/2023,true,15/10/2023
Ardeen,,Hedau,Ardeen  Hedau,679262,21129013361,22.00 zł,7/11/2023,true,13/11/2023
Marleah,Cecilius,Beardwood,Marleah Cecilius Beardwood,889587,82906707163,31.03 zł,12/11/2023,false,
Edwina,Nertie,Keeling,Edwina Nertie Keeling,241346,04920711077,15.44 zł,16/10/2023,false,
Jennette,Sonia,Ellicombe,Jennette Sonia Ellicombe,333486,15064159799,15.91 zł,6/10/2023,false,
Harrietta,Annie,Mayor,Harrietta Annie Mayor,158869,88613604564,0.00 zł,,false,
Robbie,,Gibbieson,Robbie  Gibbieson,274181,45232620792,25.84 zł,10/10/2023,false,
Janaya,Ralina,Dowglass,Janaya Ralina Dowglass,323692,33510847703,13.47 zł,3/10/2023,false,
Marla,Henrieta,Renton,Marla Henrieta Renton,768477,44066961370,0.00 zł,,false,
Harwilll,Jaime,Walklott,Harwilll Jaime Walklott,264830,85020501192,22.00 zł,3/10/2023,true,24/10/2023
Andeee,,Pantecost,Andeee  Pantecost,005228,89904146658,0.00 zł,,false,
Sherline,Clay,Grellier,Sherline Clay Grellier,933804,83865717438,0.00 zł,,false,
Orelie,Aile,Paull,Orelie Aile Paull,646659,97864141901,25.98 zł,11/10/2023,false,
Judon,Eddi,MacTeggart,Judon Eddi MacTeggart,133820,81039090758,0.00 zł,,false,
Kylie,,Burtwhistle,Kylie  Burtwhistle,149492,64919081161,22.00 zł,20/10/2023,true,29/10/2023
Claudianus,,Leaming,Claudianus  Leaming,972693,87784252241,26.25 zł,13/10/2023,false,
Eugenia,York,Marron,Eugenia York Marron,696701,55727180324,0.00 zł,,false,
Gayleen,Adria,Bradford,Gayleen Adria Bradford,901722,64109221046,19.13 zł,22/10/2023,false,
Gusta,Verine,Filipowicz,Gusta Verine Filipowicz,645978,27174744079,22.00 zł,7/10/2023,true,21/10/2023
Margarette,,Sapwell,Margarette  Sapwell,508763,57287467447,22.00 zł,12/10/2023,true,10/11/2023
Joellyn,,Labbett,Joellyn  Labbett,589966,00178012084,22.00 zł,31/10/2023,true,18/11/2023
Lynnea,,Betty,Lynnea  Betty,187865,72277491266,16.62 zł,10/10/2023,false,
Griffin,Joy,Sheards,Griffin Joy Sheards,004782,42841809830,20.75 zł,17/10/2023,false,
Asa,Roma,Itzhak,Asa Roma Itzhak,063009,20401912317,22.00 zł,24/10/2023,true,18/11/2023
Catherina,,Duinbleton,Catherina  Duinbleton,664596,20054547520,34.09 zł,6/11/2023,false,
Trenton,Debby,Cothey,Trenton Debby Cothey,994287,30214899241,22.00 zł,22/10/2023,true,27/10/2023
Raleigh,Kassey,Pfleger,Raleigh Kassey Pfleger,710320,42382356986,29.35 zł,31/10/2023,false,
Tedd,Bendix,Lillford,Tedd Bendix Lillford,581833,18075451738,22.00 zł,1/11/2023,true,1/12/2023
Dedie,Finn,Dagger,Dedie Finn Dagger,671000,40959791978,18.22 zł,14/11/2023,false,
Margi,,Normavill,Margi  Normavill,875039,51392133824,0.00 zł,,false,
Sadye,,Beck,Sadye  Beck,400303,69146415876,22.00 zł,5/11/2023,true,27/11/2023
Martie,Britni,Donegan,Martie Britni Donegan,186177,00541987297,20.34 zł,21/10/2023,false,
Demott,,Churchward,Demott  Churchward,310124,93065555485,21.82 zł,1/11/2023,false,
Rockey,Rusty,Malham,Rockey Rusty Malham,463490,26194023590,28.32 zł,16/11/2023,false,
Merle,,Rhydderch,Merle  Rhydderch,579071,37508499889,22.00 zł,5/11/2023,true,1/12/2023
Elvira,,Bras,Elvira  Bras,152208,88653191508,21.54 zł,23/10/2023,false,
Bucky,,Worham,Bucky  Worham,148390,50837351443,14.51 zł,15/11/2023,false,
Seline,Saundra,Basil,Seline Saundra Basil,987036,90344557943,22.00 zł,2/10/2023,true,23/10/2023
Elise,,Pail,Elise  Pail,734475,40284552775,0.00 zł,,false,
Emmaline,Carmen,Dumper,Emmaline Carmen Dumper,076788,71089193614,22.00 zł,5/11/2023,true,22/11/2023
Andrey,Marylou,McLuckie,Andrey Marylou McLuckie,966333,26706850759,22.00 zł,24/10/2023,true,15/11/2023
Fairleigh,Juieta,Wornum,Fairleigh Juieta Wornum,449976,96735761273,22.00 zł,2/10/2023,true,4/10/2023
Anitra,,MacMichael,Anitra  MacMichael,350784,23061469553,22.00 zł,9/10/2023,true,31/10/2023
Ruth,Goddard,Cords,Ruth Goddard Cords,909464,32187117995,22.00 zł,12/10/2023,true,27/10/2023
Luelle,Laurens,Hundall,Luelle Laurens Hundall,177142,75589165518,0.00 zł,,false,
Franzen,Lorettalorna,Cogley,Franzen Lorettalorna Cogley,364309,71327861497,22.40 zł,25/10/2023,false,
Davina,,Noone,Davina  Noone,124554,86138593215,22.00 zł,23/10/2023,true,16/11/2023
Den,Padriac,Ardy,Den Padriac Ardy,175705,50513157570,0.00 zł,,false,
Kalvin,,Di Angelo,Kalvin  Di Angelo,755026,71118696666,20.74 zł,18/10/2023,false,
Dory,,Gillison,Dory  Gillison,970123,06975275535,0.00 zł,,false,
Danita,Adaline,Powys,Danita Adaline Powys,009062,24942568818,23.13 zł,17/10/2023,false,
Davie,,Mattisson,Davie  Mattisson,050758,07873753395,22.00 zł,17/11/2023,true,26/11/2023
Catherine,,Enrrico,Catherine  Enrrico,780306,53730722836,22.00 zł,13/10/2023,true,2/11/2023
Pooh,,Hauck,Pooh  Hauck,168216,59538355445,22.00 zł,25/10/2023,true,7/11/2023
Madella,,Petcher,Madella  Petcher,152706,99656469303,16.06 zł,18/10/2023,false,
Sal,Star,MacElharge,Sal Star MacElharge,448142,07742800084,0.00 zł,,false,
Ruggiero,,Alexandre,Ruggiero  Alexandre,548354,78271615018,26.51 zł,10/10/2023,false,
Whit,Lurlene,Overlow,Whit Lurlene Overlow,939050,00946227253,22.00 zł,15/11/2023,true,17/11/2023
Jenine,Elijah,Rolls,Jenine Elijah Rolls,758272,68566534269,26.62 zł,29/10/2023,false,
Gerry,Teodoro,Day,Gerry Teodoro Day,414132,11525235430,22.00 zł,14/10/2023,true,10/11/2023
Fannie,,Buttery,Fannie  Buttery,070222,29125506531,22.00 zł,5/11/2023,true,28/11/2023
Eberto,Cornelia,Ellcome,Eberto Cornelia Ellcome,642227,55779712946,22.00 zł,19/10/2023,true,3/11/2023
Frank,Darice,Tampling,Frank Darice Tampling,984446,56929172679,22.00 zł,3/11/2023,true,16/11/2023
Idelle,Keelia,Benedek,Idelle Keelia Benedek,055471,66292781160,0.00 zł,,false,
Swen,Roch,Glendzer,Swen Roch Glendzer,957666,20201252318,22.00 zł,19/10/2023,true,12/11/2023
Ivonne,Sam,Duckham,Ivonne Sam Duckham,590581,32902138016,0.00 zł,,false,
Lura,Muhammad,Willingam,Lura Muhammad Willingam,778068,30139516360,22.00 zł,5/10/2023,true,20/10/2023
Sosanna,,Fruen,Sosanna  Fruen,693430,41488447143,13.79 zł,5/11/2023,false,
Ty,Marietta,Axston,Ty Marietta Axston,615631,23059410936,22.00 zł,30/10/2023,true,14/11/2023
Ramonda,Thurstan,Rosenfelt,Ramonda Thurstan Rosenfelt,302318,25570097640,0.00 zł,,false,
Marijo,,Bails,Marijo  Bails,018095,34058911791,29.69 zł,28/10/2023,false,
Addi,Guilbert,McSperron,Addi Guilbert McSperron,698040,13894901196,18.15 zł,13/10/2023,false,
Patton,,Aitchison,Patton  Aitchison,864047,15148391763,27.18 zł,12/11/2023,false,
Urson,,Jacobbe,Urson  Jacobbe,143452,23450815281,0.00 zł,,false,
Cristi,Franciska,Butcher,Cristi Franciska Butcher,847117,99289292079,26.17 zł,22/10/2023,false,
Sidney,Joyous,Godart,Sidney Joyous Godart,015154,99695519627,0.00 zł,,false,
Odele,Hershel,Lukins,Odele Hershel Lukins,682756,04515355275,29.56 zł,11/10/2023,false,
Vergil,,Mussett,Vergil  Mussett,994331,55040732453,0.00 zł,,false,
Camile,,Ells,Camile  Ells,877213,82278158327,0.00 zł,,false,
Tucky,,Spaunton,Tucky  Spaunton,424140,46319676239,34.54 zł,13/11/2023,false,
Cletus,,Pinxton,Cletus  Pinxton,430886,30370314171,22.00 zł,3/10/2023,true,18/10/2023
Pam,Karlene,Urien,Pam Karlene Urien,507893,52030144186,0.00 zł,,false,
Ysabel,,Oleksinski,Ysabel  Oleksinski,835153,85233069996,22.00 zł,12/11/2023,true,19/11/2023
Jimmy,,Kenaway,Jimmy  Kenaway,949883,48389816212,22.00 zł,6/10/2023,true,29/10/2023
Ethel,Krisha,Kettles,Ethel Krisha Kettles,107340,23494945971,0.00 zł,,false,
Peri,,Tripcony,Peri  Tripcony,139583,54149588032,25.01 zł,10/10/2023,false,
Letta,,Mordan,Letta  Mordan,324344,24501675337,24.04 zł,14/10/2023,false,
Denni,Nowell,Sandiford,Denni Nowell Sandiford,260940,75640150492,22.00 zł,16/10/2023,true,31/10/2023
Esta,,Rubury,Esta  Rubury,624505,40362166540,9.55 zł,15/11/2023,false,
Bethany,,Greschke,Bethany  Greschke,768848,53126603593,22.00 zł,3/10/2023,true,5/10/2023
Denver,,Woolstenholmes,Denver  Woolstenholmes,254172,21099591595,23.34 zł,8/10/2023,false,
Inglis,,Waslin,Inglis  Waslin,704446,57769592531,22.00 zł,17/11/2023,true,5/12/2023
Hadrian,,Jovanovic,Hadrian  Jovanovic,305876,36669822329,24.48 zł,16/10/2023,false,
Rollie,Leeland,Quadri,Rollie Leeland Quadri,539231,86158548364,22.00 zł,5/10/2023,true,17/10/2023
Yovonnda,,Jeste,Yovonnda  Jeste,092191,96137342475,0.00 zł,,false,
Mufi,,Northwood,Mufi  Northwood,071654,10191538394,0.00 zł,,false,
Averell,,Danilenko,Averell  Danilenko,905005,33429287285,32.61 zł,20/10/2023,false,
Jannel,Simonne,Stockhill,Jannel Simonne Stockhill,956578,80323356853,21.87 zł,20/10/2023,false,
Janeen,,Searle,Janeen  Searle,478416,51844761472,23.00 zł,10/10/2023,false,
Wayland,,Leeke,Wayland  Leeke,931433,56521914636,22.00 zł,15/10/2023,true,10/11/2023
Tripp,Kendal,Zarfat,Tripp Kendal Zarfat,711817,91415206631,0.00 zł,,false,
Nicolina,Nike,Skull,Nicolina Nike Skull,973600,91796167315,24.20 zł,18/10/2023,false,
Tabbie,Vida,Corkel,Tabbie Vida Corkel,594317,13114558101,22.00 zł,19/10/2023,true,13/11/2023
Monika,Morris,Greenwell,Monika Morris Greenwell,494623,20957574091,22.00 zł,25/10/2023,true,18/11/2023
Iggie,Tarah,Boxhill,Iggie Tarah Boxhill,838156,48115413007,29.64 zł,28/10/2023,false,
Luella,,Fosbraey,Luella  Fosbraey,245566,01005134644,28.01 zł,1/10/2023,false,
Ralf,Munroe,Dinwoodie,Ralf Munroe Dinwoodie,916163,64410761577,0.00 zł,,false,
Lanny,Tess,Cohn,Lanny Tess Cohn,732194,32204314342,23.93 zł,13/11/2023,false,
L;urette,,Fielder,L;urette  Fielder,778854,87315482143,22.00 zł,7/11/2023,true,23/11/2023
Valina,Harrison,Cortin,Valina Harrison Cortin,545473,08545585929,0.00 zł,,false,
Stephani,Joshuah,Wogden,Stephani Joshuah Wogden,566985,96177641938,16.40 zł,2/10/2023,false,
Melisent,,Dayborne,Melisent  Dayborne,524802,10844416044,23.36 zł,6/10/2023,false,
Eddi,,Bence,Eddi  Bence,786383,00395469102,22.00 zł,31/10/2023,true,5/11/2023
Ninnette,Ezekiel,Beddie,Ninnette Ezekiel Beddie,967053,27316196286,22.10 zł,15/10/2023,false,
Marcile,,Antcliff,Marcile  Antcliff,884508,11490578563,22.00 zł,11/11/2023,true,21/11/2023
Brina,Jens,Veck,Brina Jens Veck,147112,41397751755,21.43 zł,9/11/2023,false,
Frederigo,Elsey,Hugk,Frederigo Elsey Hugk,768385,26014036146,17.16 zł,3/11/2023,false,
Toma,Lavina,Abley,Toma Lavina Abley,791319,03778687337,26.34 zł,5/10/2023,false,
Richy,Arne,Balentyne,Richy Arne Balentyne,949701,82434804186,22.00 zł,5/11/2023,true,18/11/2023
Reese,,Duffy,Reese  Duffy,455187,02837025332,24.41 zł,20/10/2023,false,
Elie,Camila,Daleman,Elie Camila Daleman,777670,49376360624,20.03 zł,12/11/2023,false,
Selig,Wye,Reignard,Selig Wye Reignard,293798,27698997125,0.00 zł,,false,
Ellissa,Klemens,Mattheis,Ellissa Klemens Mattheis,781045,84447470575,22.00 zł,22/10/2023,true,27/10/2023
Stewart,,Langcastle,Stewart  Langcastle,997110,62573279274,22.00 zł,21/10/2023,true,5/11/2023
Anatollo,,Hatherill,Anatollo  Hatherill,232961,75552347269,0.00 zł,,false,
Kania,Waldemar,Laidel,Kania Waldemar Laidel,153800,52491862389,22.00 zł,23/10/2023,true,11/11/2023
Gilberta,,Sherborn,Gilberta  Sherborn,058314,35670426508,22.00 zł,6/11/2023,true,16/11/2023
Lin,Averil,Huge,Lin Averil Huge,175931,75594161161,22.00 zł,21/10/2023,true,29/10/2023
Tom,Tara,Milson,Tom Tara Milson,767313,74914415856,25.95 zł,11/11/2023,false,
Kerwin,Bronny,Beenham,Kerwin Bronny Beenham,619164,41270515861,23.84 zł,26/10/2023,false,
Nettle,,Mullaly,Nettle  Mullaly,977299,38450504175,28.71 zł,11/10/2023,false,
Abby,Vasili,Sprague,Abby Vasili Sprague,166589,79961764923,0.00 zł,,false,
Krissy,Saraann,Nickoll,Krissy Saraann Nickoll,008478,33696744529,22.00 zł,29/10/2023,true,9/11/2023
Burk,,McFeate,Burk  McFeate,436033,84688644092,20.74 zł,14/11/2023,false,
Griff,Reinold,Seine,Griff Reinold Seine,798021,71397769569,23.03 zł,20/10/2023,false,
Leanora,Ivar,Tripcony,Leanora Ivar Tripcony,169690,84164215981,25.87 zł,14/11/2023,false,
Floria,Seline,Liverseege,Floria Seline Liverseege,700919,73331682294,20.58 zł,9/11/2023,false,
Fayette,Hammad,Seleway,Fayette Hammad Seleway,127890,85706126350,0.00 zł,,false,
Lothario,,Bonefant,Lothario  Bonefant,584969,34561514079,22.00 zł,7/11/2023,true,15/11/2023
Tally,Perren,MacGiolla,Tally Perren MacGiolla,611208,65620466292,22.00 zł,13/10/2023,true,28/10/2023
Benetta,Emelia,Battleson,Benetta Emelia Battleson,269572,68118692943,22.00 zł,21/10/2023,true,1/11/2023
Ajay,Gustavus,Pickett,Ajay Gustavus Pickett,027605,39014975771,22.00 zł,3/11/2023,true,18/11/2023
Patience,,Egginton,Patience  Egginton,571694,30824856574,34.56 zł,5/10/2023,false,
Walt,Shayne,Dockwra,Walt Shayne Dockwra,042953,01115575210,21.92 zł,2/10/2023,false,
Carlene,Mellisa,Leadbetter,Carlene Mellisa Leadbetter,371573,24179390160,23.77 zł,10/11/2023,false,
Cicily,Jennine,Najara,Cicily Jennine Najara,912948,61937928345,23.01 zł,6/11/2023,false,
Tanny,,Llywarch,Tanny  Llywarch,607693,99540595552,0.00 zł,,false,
Daffi,Gabrila,Seagrave,Daffi Gabrila Seagrave,837218,59984406059,14.66 zł,12/11/2023,false,
Fergus,Samantha,Bownas,Fergus Samantha Bownas,659867,90391453445,22.00 zł,16/10/2023,true,27/10/2023
Jessalin,Dunn,Guiu,Jessalin Dunn Guiu,699425,07367462824,28.71 zł,2/10/2023,false,
Farica,Standford,Filipic,Farica Standford Filipic,883845,95397831147,22.00 zł,2/11/2023,true,11/11/2023
Ilysa,Jock,Bertot,Ilysa Jock Bertot,070809,76039566000,9.24 zł,10/10/2023,false,
Beverlee,Britney,Acors,Beverlee Britney Acors,276279,70309667639,22.00 zł,11/11/2023,true,19/11/2023
Giselle,Amalle,Gurery,Giselle Amalle Gurery,955071,59839437213,26.61 zł,3/10/2023,false,
Rosmunda,,Bodicum,Rosmunda  Bodicum,574869,48211552220,22.00 zł,7/10/2023,true,25/10/2023
Norman,,Clout,Norman  Clout,843600,23771182940,0.00 zł,,false,
Sebastiano,Gui,McNay,Sebastiano Gui McNay,388821,85475053029,22.00 zł,7/10/2023,true,31/10/2023
Berkly,,Curro,Berkly  Curro,843564,53078895543,22.00 zł,12/10/2023,true,7/11/2023
Analiese,Nerty,Phizakarley,Analiese Nerty Phizakarley,966416,03017536329,21.98 zł,7/10/2023,false,
Colman,,Roglieri,Colman  Roglieri,118870,30011767032,22.00 zł,20/10/2023,true,24/10/2023
Stephannie,,Hugo,Stephannie  Hugo,463733,35943983884,22.00 zł,26/10/2023,true,20/11/2023
Rochette,Barbabra,Wymer,Rochette Barbabra Wymer,736628,25404568901,23.36 zł,23/10/2023,false,
Forest,,Mixon,Forest  Mixon,406107,89494633349,26.87 zł,1/11/2023,false,
Den,,Pegden,Den  Pegden,068675,03512937567,20.16 zł,22/10/2023,false,
Stacy,,Koles,Stacy  Koles,295835,63430224830,22.00 zł,8/11/2023,true,5/12/2023
Essie,Torie,Drable,Essie Torie Drable,940547,94605689586,0.00 zł,,false,
Jemmie,,Chinnock,Jemmie  Chinnock,893216,50595877274,15.65 zł,1/11/2023,false,
Toinette,Malchy,Molloy,Toinette Malchy Molloy,952348,39450305970,0.00 zł,,false,
Minette,Jerrilyn,Heath,Minette Jerrilyn Heath,377374,02660704023,6.51 zł,16/10/2023,false,
Mic,Tiff,Alejandri,Mic Tiff Alejandri,359342,48308380032,0.00 zł,,false,
Toni,,Gamage,Toni  Gamage,973764,08460381990,22.43 zł,19/10/2023,false,
Alexi,Phillipp,Boatwright,Alexi Phillipp Boatwright,314524,30729137315,15.07 zł,17/11/2023,false,
Douglas,Haskel,Scholl,Douglas Haskel Scholl,661043,44740086110,0.00 zł,,false,
Agretha,Kendell,Baltrushaitis,Agretha Kendell Baltrushaitis,174886,99600871385,22.00 zł,15/10/2023,true,13/11/2023
Caitrin,,Gallaher,Caitrin  Gallaher,550290,11544228973,22.00 zł,9/10/2023,true,10/10/2023
Fin,Tabatha,Woakes,Fin Tabatha Woakes,218032,13690241326,22.00 zł,15/11/2023,true,6/12/2023
Windy,,Sheran,Windy  Sheran,933165,82098533611,0.00 zł,,false,
Rora,Dru,Tharme,Rora Dru Tharme,128062,11257476832,22.00 zł,26/10/2023,true,8/11/2023
Natasha,Edee,Wong,Natasha Edee Wong,118496,73434585428,22.00 zł,1/11/2023,true,11/11/2023
Laurice,,Tropman,Laurice  Tropman,361080,26093596556,0.00 zł,,false,
Lisette,Randell,Camplejohn,Lisette Randell Camplejohn,562758,46615412009,11.31 zł,6/11/2023,false,
Edmon,,Eager,Edmon  Eager,728957,41320641183,0.00 zł,,false,
Guendolen,Keeley,Mousby,Guendolen Keeley Mousby,624689,94269183364,25.06 zł,9/11/2023,false,
Layney,,Allibon,Layney  Allibon,498326,13806215675,22.00 zł,4/11/2023,true,12/11/2023
Melinda,,McDermott,Melinda  McDermott,401398,88864606637,22.00 zł,1/11/2023,true,10/11/2023
